time,temperature,temperatureApparent,dewPoint,humidity,windSpeed,windDirection,windGust,pressureSurfaceLevel,cloudCover,precipitationProbability,uvIndex
2025-07-18T16:00:00Z,28.6,35.1,24.7,88,2.7,12,3.2,1004.48,100,0,0.0
2025-07-18T17:00:00Z,25.7,25.7,25.3,98,0.2,322,0.5,1006.42,100,0,0.0
2025-07-18T18:00:00Z,25.6,25.6,25.2,98,0.8,224,1.4,1005.84,100,0,0.0
2025-07-18T19:00:00Z,25.8,25.8,24.7,94,1.7,237,3.5,1005.13,100,0,0.0
2025-07-18T20:00:00Z,25.6,25.6,24.1,91,2.3,248,4.6,1004.53,99,0,0.0
2025-07-18T21:00:00Z,25.4,25.4,23.9,91,2.2,250,4.4,1004.46,100,0,0.0
2025-07-18T22:00:00Z,25.5,25.5,23.9,90,2.5,251,5.1,1004.48,100,0,0.0
2025-07-18T23:00:00Z,25.7,25.7,23.9,89,2.5,252,5.1,1004.65,98,0,0.0
2025-07-19T00:00:00Z,26.4,26.4,24.4,88,2.1,251,4.3,1005.19,97,0,1.0
2025-07-19T01:00:00Z,27.7,32.1,25.0,85,2.1,245,5.4,1005.41,60,0,2.0
2025-07-19T02:00:00Z,29.2,34.9,25.1,79,3.2,252,10.0,1005.58,68,5,3.0
2025-07-19T03:00:00Z,30.0,36.5,25.2,75,3.0,251,10.3,1005.02,19,15,6.0
2025-07-19T04:00:00Z,31.3,38.5,25.3,71,3.7,258,11.0,1004.53,97,20,6.0
2025-07-19T05:00:00Z,31.6,38.0,24.5,66,4.3,261,12.4,1003.48,100,25,7.0
2025-07-19T06:00:00Z,27.8,32.2,24.8,83,3.8,233,8.4,1003.8,98,30,7.0
2025-07-19T07:00:00Z,27.4,30.9,24.2,83,3.9,266,9.0,1003.45,99,35,6.0
2025-07-19T08:00:00Z,26.8,29.8,24.5,87,2.5,263,6.0,1003.32,100,35,3.0
2025-07-19T09:00:00Z,27.1,30.8,24.8,87,3.2,243,7.2,1003.21,100,30,1.0
2025-07-19T10:00:00Z,27.0,30.4,24.6,87,2.5,238,5.6,1003.23,100,25,0.0
2025-07-19T11:00:00Z,26.7,29.8,24.9,90,2.2,221,4.9,1003.25,100,0,0.0
2025-07-19T12:00:00Z,26.5,26.5,24.9,91,2.5,234,5.2,1003.84,100,0,0.0
2025-07-19T13:00:00Z,26.5,26.5,24.8,90,2.7,239,5.7,1004.34,100,0,0.0
2025-07-19T14:00:00Z,26.4,26.4,24.6,90,2.9,239,6.1,1005.32,100,0,0.0
2025-07-19T15:00:00Z,26.2,26.2,24.5,90,3.2,236,6.6,1005.55,100,0,0.0
2025-07-19T16:00:00Z,26.2,26.2,24.4,90,3.0,241,6.1,1006.08,100,0,0.0
2025-07-19T17:00:00Z,26.2,26.2,24.3,90,3.0,243,6.3,1005.85,100,0,0.0
2025-07-19T18:00:00Z,26.0,26.0,24.2,90,2.4,235,4.9,1004.92,100,0,0.0
